Country,1990,1995,2000,2005,2010,2015,2019,Pop1990,Pop1995,Pop2000,Pop2005,Pop2010,Pop2015,Pop2019,PopCountry
Martinique,38705,46599,54492,57034,59575,61731,61647,358,369,387,397,395,378,376,Martinique
Montserrat,2013,1612,1211,1244,1291,1351,1375,11,10,5,5,5,5,5,Montserrat
Puerto Rico,321909,338067,355038,352144,304969,280494,266828,3403,3568,3669,3632,3580,3382,2933,Puerto Rico
Saint Kitts and Nevis,3210,4248,5871,6682,7245,7443,7587,40,42,44,47,49,51,53,Saint Kitts and Nevis
Saint Lucia,5305,7155,9871,9842,9051,8673,8383,138,147,157,163,174,179,183,Saint Lucia
Saint Vincent and the Grenadines,3970,4135,4307,4436,4569,4637,4692,107,108,108,109,108,109,111,Saint Vincent and the Grenadines
Sint Maarten (Dutch part),,,,13100,26200,27295,28260,29,31,33,33,34,40,42,Sint Maarten (Dutch part)
Trinidad and Tobago,50666,45994,41753,44812,48226,50021,59249,1221,1254,1267,1296,1328,1370,1395,Trinidad and Tobago
Turks and Caicos Islands,5062,7039,9015,13115,17216,22719,24534,12,16,20,28,33,36,38,Turks and Caicos Islands
United States Virgin Islands,51970,54241,56611,56647,56684,56721,56745,104,107,109,108,106,105,105,United States Virgin Islands
Belize,30404,33446,36488,41424,46360,54674,59998,188,207,247,284,322,361,390,Belize
Costa Rica,417628,364287,310946,358175,405404,411697,417768,3119,3546,3962,4286,4577,4848,5048,Costa Rica
El Salvador,47360,39537,31713,36019,40324,42045,42617,5270,5629,5888,6052,6184,6325,6454,El Salvador
Guatemala,264257,156188,48119,57252,66384,78352,80421,9264,10408,11651,13096,14630,16252,17581,Guatemala
Honduras,270423,149442,28461,27875,27288,38317,38933,4955,5709,6575,7459,8317,9113,9746,Honduras
Mexico,695674,458549,538051,712487,969538,1028803,1060707,83943,91663,98900,106005,114093,121858,127576,Mexico
Nicaragua,41421,26619,30389,34918,37333,40262,42172,4173,4652,5069,5439,5824,6223,6546,Nicaragua
Panama,62744,70848,83410,117563,157309,184710,185072,2471,2740,3030,3330,3643,3968,4246,Panama
Argentina,1649919,1595069,1540219,1673088,1805957,2086302,2212879,32619,34828,36871,38893,40896,43075,44781,Argentina
Bolivia,73758,83598,92658,107745,122846,142989,156114,6865,7622,8418,9232,10049,10870,11513,Bolivia (Plurinational State of)
Brazil,798517,741557,684596,638582,592568,716568,807006,149003,162020,174790,186127,195714,204472,211050,Brazil
Chile,107501,142417,177332,276360,375388,639724,939992,13275,14381,15342,16183,17063,17969,18952,Chile
Colombia,104277,106943,109609,107612,124271,139134,1142319,33103,36421,39630,42648,45223,47521,50339,Colombia
Ecuador,78663,115093,151523,187404,325366,387513,381507,10231,11455,12681,13826,15011,16212,17374,Ecuador
Falkland Islands (Malvinas),855,868,1067,1166,1436,1571,1902,2,3,3,3,3,3,3,Falkland Islands (Malvinas)
French Guiana,63612,70131,76649,86468,96288,106108,117372,116,137,163,203,233,261,291,French Guiana
Guyana,4095,6352,8610,10868,13126,15384,15699,743,761,747,746,749,767,783,Guyana
Paraguay,195884,186570,176608,168243,160299,156462,160519,4223,4777,5323,5824,6248,6689,7045,Paraguay
Peru,56688,56732,66300,77877,104706,154774,782169,22071,24299,26460,27866,29028,30471,32510,Peru
Suriname,18083,22320,27506,33664,39713,43127,46157,405,442,471,499,529,559,581,Suriname
Uruguay,98116,93428,88874,82317,76303,78799,81482,3110,3224,3320,3322,3359,3412,3462,Uruguay
"Venezuela, RB",1025009,1019996,1013738,1076474,1347347,1404448,1375690,19633,21931,24192,26432,28440,30082,28516,Venezuela (Bolivarian Republic of)
